gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Pocillopora_acuta_KBHIv2___RNAseq.g28227.t1,241.4273572,6.319628814,0.29370285,19.52540232,6.68E-85,2.33E-82,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26869.t1,81.94701012,5.894930596,0.238803442,22.2357268,1.55E-109,1.06E-106,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g25338.t1,64.07970408,5.597160211,0.330538304,15.16374243,6.15E-52,7.28E-50,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g1118.t1,64.29565516,5.295718133,0.316280529,14.89423219,3.59E-50,4.04E-48,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g17934.t1,35.61994213,5.29503461,0.245402635,19.1932418,4.22E-82,1.36E-79,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g23589.t1,19.61818084,5.092015452,0.437269802,10.30725865,6.53E-25,3.61E-23,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g23399.t1,21.19589643,5.001591053,0.316344943,13.96143245,2.68E-44,2.62E-42,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g31065.t1,18.36648413,4.982004678,0.261260846,16.83008474,1.47E-63,2.31E-61,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g22709.t1,148.5255663,4.948225127,0.123708244,35.27058903,1.66E-272,1.47E-268,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g20628.t1,29.39515047,4.872017623,0.27210476,15.75516402,6.33E-56,8.27E-54,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g19857.t1,342.6737194,4.801930433,0.139845008,30.15458321,9.34E-200,2.08E-196,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g16770.t1,19.96519395,4.637731069,0.35557205,11.39788284,4.28E-30,2.92E-28,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5169.t1,30.78656509,4.621752154,0.222003154,18.18347882,6.98E-74,1.63E-71,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5523.t1,28.04769367,4.616288699,0.228245864,17.66220921,8.20E-70,1.73E-67,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g10640.t1,27.04363767,4.607641654,0.281544858,14.28788,2.60E-46,2.69E-44,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g15936.t1,10.17859348,4.482223412,0.302311061,12.89155913,5.02E-38,4.13E-36,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g19146.t1,25.87327181,4.35145253,0.48437682,7.775950204,7.49E-15,2.74E-13,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g28720.t1b,36.30142295,4.31334301,0.182291264,20.45287546,5.66E-93,2.58E-90,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g9112.t1,45.02973223,4.304773306,0.203234142,18.30308018,7.82E-75,1.90E-72,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.27995_t,26.27845337,4.084015178,0.224272399,15.60179807,7.08E-55,9.12E-53,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g20287.t1,9.931698305,3.98677298,0.312628554,10.88131724,1.42E-27,8.58E-26,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g4991.t1,165.9547458,3.853840152,0.243104554,13.44638594,3.23E-41,2.92E-39,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g3424.t1,15.28064453,3.771473671,0.25735533,12.38175706,3.28E-35,2.50E-33,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g6761.t1,14.16058617,3.721968149,0.248643433,12.61648299,1.71E-36,1.35E-34,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g22763.t1,28.64942173,3.707859401,0.184746435,16.90369233,4.23E-64,6.95E-62,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g6495.t1,376.6511155,3.665408939,0.141243984,21.80939922,1.89E-105,1.20E-102,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g11658.t1,34.13656068,3.615631085,0.224993853,13.47000616,2.35E-41,2.14E-39,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g28049.t1,12.48032324,3.542569713,0.229740829,12.87366825,6.33E-38,5.16E-36,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g15429.t1,63.6206106,3.538086482,0.171740125,17.19530584,2.88E-66,5.17E-64,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g6526.t1,69.46728433,3.438152573,0.146661475,19.45425731,2.68E-84,8.83E-82,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g17863.t1,61.39128795,3.349508349,0.144775846,19.09535269,2.76E-81,8.61E-79,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5300.t1,69.47089202,3.307338417,0.177626339,15.32642027,5.09E-53,6.33E-51,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g28772.t1,34.43219253,3.303503764,0.144750656,18.78085625,1.08E-78,3.01E-76,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g8801.t1,73.3855341,3.292717266,0.163583419,16.55274584,1.53E-61,2.32E-59,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g30252.t1,45.55948006,3.290695339,0.129444755,20.90260695,5.07E-97,2.57E-94,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g24493.t2,24.36384218,3.284872054,0.214301914,12.59862546,2.15E-36,1.68E-34,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g8799.t1,33.45201343,3.264581579,0.168591678,15.89413612,6.96E-57,9.30E-55,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g21444.t1,28.42533358,3.256805599,0.247356934,10.80156946,3.38E-27,2.01E-25,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2652.t1a,32.62667011,3.223221297,0.631756551,4.176068762,2.97E-05,0.000534103,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g21362.t1,17.17784147,3.193582255,0.246615763,10.57766835,3.78E-26,2.18E-24,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g6704.t2,49.07526911,3.176154012,0.127068658,20.39205853,1.97E-92,8.53E-90,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2537.t1,14.97973605,3.174324189,0.185267255,13.97635915,2.17E-44,2.13E-42,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2610.t1,97.87732522,3.17034854,0.103724241,24.92557198,3.93E-137,4.66E-134,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g6697.t1,295.9014216,3.164209758,0.146276073,17.63273523,1.38E-69,2.85E-67,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g22564.t1,17.76326217,3.139215479,0.34125238,7.48493822,7.16E-14,2.48E-12,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g26067.t1,22.53205554,3.084062127,0.174436802,14.32667648,1.49E-46,1.55E-44,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g23193.t1,36.25102955,3.054315014,0.197595194,12.49702718,7.75E-36,6.01E-34,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g5121.t3,24.05203915,2.995603967,0.264493833,9.11416889,7.93E-20,3.68E-18,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g283.t1,23.1014874,2.992621846,0.223748103,10.76057992,5.28E-27,3.12E-25,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g1284.t1,16.12032753,2.977407557,0.185819043,12.87513386,6.21E-38,5.09E-36,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g8764.t1,28.03578104,2.966523077,0.419695037,5.674502596,1.39E-08,3.38E-07,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g31567.t1,108.7303148,2.961137242,0.147956768,16.05992595,4.87E-58,6.87E-56,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2616.t1,53.47223047,2.950022546,0.11720777,20.17835541,1.52E-90,5.86E-88,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g21619.t1,23.01790329,2.947830147,0.174886515,13.51086247,1.35E-41,1.24E-39,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g27429.t1,152.5081221,2.890213535,0.11627172,19.82641202,1.76E-87,6.39E-85,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g18310.t1,122.908825,2.882722754,0.099742757,23.03686317,1.99E-117,1.48E-114,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g14872.t1,76.46227593,2.881619343,0.318845478,7.203040343,5.89E-13,1.95E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g23276.t2,30.63018958,2.877613325,0.126594302,18.11022127,2.65E-73,6.03E-71,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2887.t1,21.89989842,2.857509794,0.270082671,8.414265485,3.95E-17,1.61E-15,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5758.t1,41.29238708,2.847591445,0.170207281,13.29337339,2.53E-40,2.19E-38,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g9947.t1,17.58421379,2.847319522,0.217482694,10.40246918,2.42E-25,1.34E-23,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g6694.t1,34.07671435,2.826821515,0.235543477,9.517814061,1.77E-21,8.85E-20,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g3490.t1,247.3321007,2.826005062,0.126583,17.70413533,3.90E-70,8.45E-68,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5530.t1,15.12337516,2.805058405,0.175797287,12.62872677,1.47E-36,1.16E-34,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g13923.t1,18.64342242,2.779266853,0.150761268,14.55482817,5.44E-48,5.83E-46,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g1370.t1,63.60857713,2.777554268,0.134928957,16.24997192,2.23E-59,3.31E-57,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g29669.t1,48.2543439,2.773279467,0.214248973,10.21389713,1.72E-24,9.40E-23,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g2974.t3,86.71512343,2.754545098,0.122841454,17.66164857,8.28E-70,1.73E-67,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g29028.t1,35.60970174,2.749627241,0.188808649,11.46486009,1.98E-30,1.35E-28,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g23690.t1,113.2280565,2.745455488,0.105697678,20.44030708,7.33E-93,3.26E-90,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g17929.t1,25.89484389,2.744156549,0.153900773,14.02978042,1.02E-44,1.02E-42,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g18129.t1,35.5285929,2.73156656,0.134734974,15.93204787,3.80E-57,5.19E-55,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26706.t1,68.00101927,2.620611633,0.40259088,5.056371701,4.27E-07,9.28E-06,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g4609.t1,235.532847,2.610846518,0.186419478,10.86734088,1.65E-27,9.87E-26,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2809.t1,45.01993083,2.598850508,0.295959653,6.804603226,1.01E-11,3.11E-10,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g15951.t1,35.88297625,2.587995635,0.131687476,15.21050591,3.01E-52,3.62E-50,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26872.t1,26.75717051,2.582202405,0.148813614,13.42108322,4.55E-41,4.04E-39,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g9360.t1,17.21641189,2.569856538,0.276919931,7.167754347,7.62E-13,2.50E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26925.t1,19.45290798,2.563999958,0.207143434,9.553947322,1.25E-21,6.30E-20,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g16324.t2,40.85544379,2.552662715,0.112297019,17.5222836,9.69E-69,1.89E-66,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g8748.t1,15.49204357,2.538962169,0.226172624,8.639417258,5.65E-18,2.42E-16,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g23179.t1,24.21984921,2.516195265,0.268349422,7.196709245,6.17E-13,2.03E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5217.t1,48.94789324,2.461447215,0.119805836,15.66271542,2.72E-55,3.53E-53,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g18290.t1,101.1425714,2.460894652,0.187058058,10.02860916,1.14E-23,6.07E-22,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g21481.t1,202.971858,2.455592003,0.139178348,13.44052092,3.50E-41,3.13E-39,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2810.t1,95.58337204,2.441110884,0.261686438,7.093024747,1.31E-12,4.25E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.22529_t,41.24931648,2.426834932,0.141112123,13.05254564,6.15E-39,5.15E-37,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g18333.t1,89.90587577,2.426288521,0.123666331,14.88946916,3.86E-50,4.31E-48,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g23939.t1,59.29626971,2.409584692,0.197245915,9.250494213,2.23E-20,1.06E-18,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g22914.t1,25.29096989,2.399139095,0.180055687,10.07564175,7.08E-24,3.78E-22,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26813.t1b,94.95762091,2.381057643,0.124979715,14.37109332,7.86E-47,8.22E-45,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g18291.t1,34.07740479,2.370999675,0.254940156,7.005711476,2.46E-12,7.80E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g29497.t1,20.33210315,2.369409416,0.202509185,8.811683851,1.23E-18,5.44E-17,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g18140.t3,55.42047356,2.355164618,0.109057592,16.23181008,3.00E-59,4.41E-57,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g28177.t1,31.75935361,2.346522035,0.157708652,11.16970764,5.74E-29,3.68E-27,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g17006.t1,43.23674846,2.340316435,0.141505553,12.40484131,2.46E-35,1.88E-33,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g5006.t1b,196.0950639,2.335015581,0.129517059,13.5121434,1.33E-41,1.23E-39,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26808.t1,35.6603158,2.334410741,0.132818431,13.17172792,1.28E-39,1.09E-37,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g29210.t1,59.9527019,2.333226178,0.308480142,5.667345932,1.45E-08,3.52E-07,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g7992.t1b,197.1910836,2.330139962,0.094512437,18.46505611,3.95E-76,1.02E-73,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g1441.t1,43.22131634,2.320035606,0.165335811,10.49423649,9.18E-26,5.18E-24,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g4273.t1,17.48773607,2.313410379,0.394717029,4.37895442,1.19E-05,0.000225244,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g25752.t1,53.40823349,2.313355588,0.204363125,8.45746063,2.73E-17,1.12E-15,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g30775.t1,21.72833229,2.310489814,0.219106333,7.875296386,3.40E-15,1.26E-13,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5108.t1b,142.4856075,2.305205223,0.220194491,7.812378554,5.61E-15,2.07E-13,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26713.t1,116.1382042,2.304578182,0.404268313,4.253649438,2.10E-05,0.000383792,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g1280.t1,452.4499247,2.288583644,0.081462393,20.91297692,4.08E-97,2.13E-94,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g23396.t1,32.01450711,2.27226419,0.128282259,13.15304009,1.63E-39,1.38E-37,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g7956.t1,47.63137879,2.272239911,0.236609594,7.13106085,9.96E-13,3.26E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g6401.t2,101.7188365,2.261854894,0.230529553,7.274088594,3.49E-13,1.17E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g5029.t1,61.37252238,2.255504713,0.328940708,5.078551158,3.80E-07,8.34E-06,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g15990.t1,72.34551109,2.250842165,0.183943791,9.056460413,1.35E-19,6.19E-18,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26956.t1,743.4676646,2.244877752,0.071720192,23.14432236,1.66E-118,1.28E-115,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g25302.t1,32.33027604,2.240938324,0.232548014,7.121006086,1.07E-12,3.49E-11,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g16809.t1,14.96566447,2.240410048,0.181960199,9.09785522,9.21E-20,4.26E-18,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g16549.t1,780.5949884,2.239040576,0.04895866,33.78519937,3.25E-250,1.93E-246,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g3486.t1,147.4895216,2.219249203,0.10542708,15.50158366,3.38E-54,4.30E-52,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g24830.t1,17.51261356,2.214647759,0.2406417,6.772247934,1.27E-11,3.87E-10,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26867.t1,226.336088,2.211813941,0.104599975,15.55307676,1.52E-54,1.94E-52,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g8980.t1,16.73493965,2.209250195,0.247742371,6.556358076,5.51E-11,1.61E-09,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g12563.t1,124.9012467,2.204272923,0.267931078,6.043757356,1.51E-09,3.94E-08,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g15373.t1,19.99625441,2.200787903,0.391824388,4.12385102,3.73E-05,0.00066158,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g8178.t1,20.169561,2.196869992,0.188571329,8.547998807,1.25E-17,5.25E-16,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g26538.t1,14.79364238,2.188372024,0.321677138,4.984530561,6.21E-07,1.32E-05,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g14020.t1,719.083685,2.177782168,0.42358854,3.760299244,0.00016971,0.002832328,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2179.t1,36.8149335,2.169853757,0.215109873,7.367821993,1.73E-13,5.88E-12,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g29753.t1,19.29315382,2.164021121,0.136514786,11.56694206,6.06E-31,4.19E-29,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g7561.t1d,38.37722364,2.154882662,0.170294378,9.218860782,3.00E-20,1.41E-18,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g13324.t1b,102.3016301,2.149181042,0.092128043,16.97874495,1.18E-64,1.96E-62,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g22632.t2,455.3696433,2.147536905,0.140215282,11.14410915,7.65E-29,4.87E-27,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g25332.t1,55.73695668,2.127518495,0.125500669,12.29121726,1.01E-34,7.64E-33,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g18663.t1,53.51577164,2.117620027,0.163508234,9.373580116,7.01E-21,3.43E-19,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g7065.t1c,18.5213334,2.098393375,0.334758991,4.520956614,6.16E-06,0.000120637,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g6730.t1,22.57422655,2.097029672,0.298569229,5.064377117,4.10E-07,8.96E-06,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g24663.t1,81.0736861,2.085448781,0.17654181,8.49932535,1.91E-17,7.90E-16,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g30518.t2,27.97706412,2.044508538,0.174903055,8.344885879,7.13E-17,2.87E-15,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g29093.t1,20.2797029,2.043392683,0.199718894,7.302414666,2.83E-13,9.50E-12,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g15954.t1,16.05898715,2.041804963,0.199112868,7.316666543,2.54E-13,8.56E-12,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g7258.t1,42.62946011,2.0249651,0.1518855,9.48084314,2.52E-21,1.25E-19,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g2539.t1,58.15294363,2.019934272,0.126266537,11.36462441,6.27E-30,4.21E-28,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___RNAseq.g18369.t1,133.1816214,2.011837866,0.130368865,10.94490899,7.03E-28,4.32E-26,Up.Group3_v_Group2
Pocillopora_acuta_KBHIv2___TS.g12115.t1,198.976922,9.923937293,0.423182206,22.06844869,6.35E-108,1.69E-105,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21775.t1,139.954742,9.5801862,0.397891567,22.60722379,3.68E-113,1.11E-110,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g20669.t2,109.2810369,9.558777545,0.421989246,21.26550647,2.37E-100,5.40E-98,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.17790_t,529.9658394,9.492688825,0.34173254,26.06636851,8.78E-150,5.38E-147,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g8291.t1,70.10565998,9.400206112,0.401911215,21.93331087,1.25E-106,3.27E-104,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g12365.t1,267.3115385,9.37061881,0.402162233,21.84605017,8.48E-106,2.18E-103,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9734.t1,86.02643964,9.22535769,0.401445745,21.52319537,9.44E-103,2.24E-100,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g13787.t1,50.43423217,9.16607147,0.551647521,15.55542016,1.46E-54,1.04E-52,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11818.t1b,95.55665645,8.838608082,0.408026179,20.22822554,5.53E-91,1.04E-88,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g14838.t1,69.88147915,8.748198922,0.405863492,20.11325625,5.65E-90,1.01E-87,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24130.t1c,53.90900059,8.604018191,0.403951709,19.85152065,1.07E-87,1.79E-85,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21781.t1,81.29620186,8.557589851,0.398894448,19.98680952,7.17E-89,1.26E-86,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21488.t1,140.3597443,8.326038037,0.389105055,19.89456431,4.54E-88,7.83E-86,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24478.t1,31.64624598,8.319070393,0.541808411,14.27461761,3.15E-46,1.82E-44,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g9076.t1,67.23956981,8.293621478,0.412322644,18.69569642,5.37E-78,7.28E-76,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g16654.t1,246.6394082,8.213751016,0.352759092,21.62605783,1.02E-103,2.52E-101,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g1382.t1,39.53607283,8.176152044,0.4030299,18.83530114,3.88E-79,5.39E-77,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24340.t1b,33.50675199,8.098485064,0.439018912,17.11434829,1.16E-65,1.12E-63,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g8321.t1,39.32196429,8.087794633,0.408964853,18.34590937,3.56E-75,4.52E-73,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g20902.t1,60.65511512,8.056401827,0.413125031,18.08517705,4.17E-73,4.94E-71,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g29340.t1,43.16219403,8.050161323,0.406553907,18.36213772,2.64E-75,3.38E-73,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g18877.t1b,26.80313252,7.892177465,0.474964161,15.38477125,2.07E-53,1.42E-51,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g6358.t1,39.49655645,7.87976743,0.423388494,17.22957764,1.59E-66,1.57E-64,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11971.t1,46.76769077,7.87596022,0.41065586,17.75452012,1.59E-70,1.77E-68,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24974.t1,61.5092577,7.863958882,0.419079493,17.36901115,1.42E-67,1.46E-65,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g13326.t1a,38.85565567,7.85733484,0.421564683,17.2509051,1.10E-66,1.10E-64,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g9077.t1,54.68662978,7.843862115,0.410705563,17.67421792,6.63E-70,7.27E-68,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g1046.t1,34.01283472,7.805576364,0.416189093,17.34935868,1.99E-67,2.05E-65,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g24097.t1,431.5595424,7.717262311,0.223555526,31.90392985,2.36E-223,5.98E-220,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___TS.g17067.t1,98.25884385,7.714748893,0.393503507,18.11873658,2.27E-73,2.74E-71,Up.Group2_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g29348.t1,29.11477088,7.714061196,0.44664366,15.96149084,2.37E-57,1.81E-55,Up.Group2_v_Group6
